Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2016,2012,6138,Springville,28,28,100.00,90.1 - 100%
2014,2010,1970,East Union,25,26,96.20,90.1 - 100%
2017,2013,0846,Brooklyn-Guernsey-Malcom,40,40,100.00,90.1 - 100%
2009,2005,6795,Waterloo,570,807,70.60,70.1 - 80%
2011,2007,6660,Vinton-Shellsburg,110,140,78.60,70.1 - 80%
2015,2011,6408,Tipton,48,56,85.70,80.1 - 90%
2016,2012,1116,Charles City,106,109,97.30,90.1 - 100%
2017,2013,1476,Council Bluffs,550,622,88.40,80.1 - 90%
2010,2006,0999,Carroll,121,134,90.30,90.1 - 100%
2016,2012,3060,Humboldt,87,99,87.90,80.1 - 90%
2011,2007,6987,West Monona,48,52,92.30,90.1 - 100%
2011,2007,6516,Twin Rivers,13,14,92.90,90.1 - 100%
2013,2009,6741,East Sac County,60,60,100.00,90.1 - 100%
2014,2010,3906,Lynnville-Sully,40,40,100.00,90.1 - 100%
2010,2006,3600,Le Mars,165,174,94.80,90.1 - 100%
2014,2010,1719,Denver,53,54,98.20,90.1 - 100%
2012,2008,4599,Nashua-Plainfield,53,58,91.40,90.1 - 100%
2016,2012,0135,Allamakee,99,102,97.10,90.1 - 100%
2017,2013,7029,Williamsburg,91,93,97.90,90.1 - 100%
2016,2012,4203,Mediapolis,64,70,91.40,90.1 - 100%
2014,2010,2124,Estherville Lincoln Central,76,87,87.40,80.1 - 90%
2009,2005,4033,Maple Valley,74,84,88.10,80.1 - 90%
2011,2007,6035,Sioux Central,53,57,93.00,90.1 - 100%
2015,2011,0171,Alta,41,41,100.00,90.1 - 100%
2015,2011,2846,Harris-Lake Park,11,11,100.00,90.1 - 100%
2012,2008,0576,Belle Plaine,33,39,84.60,80.1 - 90%
2011,2007,3420,Lake Mills,42,45,93.30,90.1 - 100%
2016,2012,5643,Roland-Story,66,67,98.50,90.1 - 100%
2017,2013,5724,Ruthven-Ayrshire,14,14,100.00,90.1 - 100%
2015,2011,1221,Clear Creek Amana,127,144,88.20,80.1 - 90%
2013,2009,2977,Highland,43,46,93.50,90.1 - 100%
2016,2012,6536,Union,80,84,95.20,90.1 - 100%
2012,2008,4776,North Mahaska,40,46,87.00,80.1 - 90%
2015,2011,0063,Akron Westfield,33,33,100.00,90.1 - 100%
2015,2011,6840,Waverly-Shell Rock,130,138,94.20,90.1 - 100%
2009,2005,5922,Sheffield-Chapin,73,73,100.00,90.1 - 100%
2010,2006,3465,Lamoni,21,28,75.00,70.1 - 80%
2014,2010,5994,Sibley-Ocheyedan,54,56,96.40,90.1 - 100%
2017,2013,6099,South O'Brien,41,50,82.00,80.1 - 90%
2015,2011,5994,Sibley-Ocheyedan,45,45,100.00,90.1 - 100%
2017,2013,5976,Shenandoah,78,81,96.30,90.1 - 100%
2009,2005,6102,Spencer,152,174,87.40,80.1 - 90%
2013,2009,1218,Clay Central-Everly,19,19,100.00,90.1 - 100%
2015,2011,0819,West Hancock,35,43,81.40,80.1 - 90%
2014,2010,6969,West Harrison,33,34,97.10,90.1 - 100%
2014,2010,3715,Linn-Mar,378,413,91.50,90.1 - 100%
2017,2013,3168,IKM-Manning,54,55,98.20,90.1 - 100%
2014,2010,4797,Norwalk,118,121,97.50,90.1 - 100%
2016,2012,0540,BCLUW,49,50,98.00,90.1 - 100%
2016,2012,6990,West Sioux,38,40,95.00,90.1 - 100%
2009,2005,6990,West Sioux,42,52,80.80,80.1 - 90%
2017,2013,6561,United,,,,Not Reportable
2013,2009,4131,Mason City,235,262,89.70,80.1 - 90%
2009,2005,3141,Iowa City,662,715,92.60,90.1 - 100%
2016,2012,4778,North Kossuth,,,,Not Reportable
2009,2005,6592,Van Buren,44,55,80.00,70.1 - 80%
2013,2009,6273,Sumner,55,57,96.50,90.1 - 100%
2014,2010,7029,Williamsburg,95,104,91.40,90.1 - 100%
2017,2013,4797,Norwalk,180,187,96.30,90.1 - 100%
2009,2005,0081,Albia,75,81,92.60,90.1 - 100%
2010,2006,7092,Woodbine,32,34,94.10,90.1 - 100%
2016,2012,6759,Wapello,47,50,94.00,90.1 - 100%
2011,2007,6097,South Page,10,12,83.30,80.1 - 90%
2011,2007,6100,South Winneshiek,59,63,93.70,90.1 - 100%
2009,2005,1044,Cedar Falls,307,332,92.50,90.1 - 100%
2012,2008,3798,Logan-Magnolia,49,51,96.10,90.1 - 100%
2014,2010,4878,Ogden,50,52,96.20,90.1 - 100%
2011,2007,0225,Ames,309,330,93.60,90.1 - 100%
2012,2008,2834,Harmony,16,23,69.60,60.1 - 70%
2011,2007,5976,Shenandoah,73,83,88.00,80.1 - 90%
2015,2011,2763,Clayton Ridge,59,68,86.80,80.1 - 90%
2016,2012,5160,PCM,65,69,94.20,90.1 - 100%
2009,2005,1449,Corwith-Wesley,22,23,95.70,90.1 - 100%
2017,2013,6975,West Liberty,84,90,93.30,90.1 - 100%
2010,2006,0472,Ballard,112,118,94.90,90.1 - 100%
2016,2012,3114,Indianola,284,297,95.60,90.1 - 100%
2011,2007,4995,Osage,94,97,96.90,90.1 - 100%
2015,2011,4518,Moulton-Udell,11,11,100.00,90.1 - 100%
2010,2006,4772,North Central,74,75,98.70,90.1 - 100%
2014,2010,4572,Murray,21,22,95.50,90.1 - 100%
2010,2006,0981,Carlisle,96,104,92.30,90.1 - 100%
2013,2009,1197,Clarinda,62,70,88.60,80.1 - 90%
2012,2008,5121,Panorama,48,48,100.00,90.1 - 100%
2011,2007,2457,George-Little Rock,33,34,97.10,90.1 - 100%
2011,2007,2754,Guthrie Center,46,52,88.50,80.1 - 90%
2013,2009,5697,Rudd-Rockford-Marble Rk,34,35,97.10,90.1 - 100%
2012,2008,0882,Burlington,209,286,73.10,70.1 - 80%
2011,2007,2403,Garner-Hayfield,64,67,95.50,90.1 - 100%
2011,2007,6983,West Lyon,51,52,98.10,90.1 - 100%
2014,2010,2369,Fremont-Mills,23,24,95.80,90.1 - 100%
2015,2011,0609,Benton,112,116,96.60,90.1 - 100%
2014,2010,3029,Howard-Winneshiek,103,110,93.60,90.1 - 100%
2017,2013,6591,Valley,,,,Not Reportable
2014,2010,6460,Tri-Center,55,58,94.80,90.1 - 100%
2011,2007,3375,Knoxville,144,166,86.80,80.1 - 90%
2013,2009,6937,West Burlington,38,43,88.40,80.1 - 90%
2017,2013,1619,Davis County,94,98,95.90,90.1 - 100%
2014,2010,4689,New London,38,41,92.70,90.1 - 100%
2009,2005,6867,Webster City,103,112,92.00,90.1 - 100%
2013,2009,3691,North Cedar,53,60,88.30,80.1 - 90%
2017,2013,0936,Camanche,59,70,84.30,80.1 - 90%
2012,2008,6460,Tri-Center,46,49,93.90,90.1 - 100%
2012,2008,4689,New London,26,31,83.90,80.1 - 90%
2009,2005,6094,Southeast Warren,43,45,95.60,90.1 - 100%
2010,2006,2457,George-Little Rock,33,33,100.00,90.1 - 100%
2010,2006,1079,Central Lee,93,105,88.60,80.1 - 90%
2009,2005,4572,Murray,18,19,94.70,90.1 - 100%
2017,2013,2988,Hinton,60,61,98.40,90.1 - 100%
2011,2007,1970,East Union,35,37,94.60,90.1 - 100%
2015,2011,4356,Missouri Valley,57,57,100.00,90.1 - 100%
2009,2005,6579,Urbandale,289,302,95.70,90.1 - 100%
2010,2006,1989,Edgewood-Colesburg,48,48,100.00,90.1 - 100%
2013,2009,4773,Northeast,65,69,94.20,90.1 - 100%
2017,2013,4437,Montezuma,50,52,96.20,90.1 - 100%
2009,2005,4689,New London,38,42,90.50,90.1 - 100%
2016,2012,5949,Sheldon,69,74,93.20,90.1 - 100%
2013,2009,4662,New Hampton,89,95,93.70,90.1 - 100%
2009,2005,1071,Centerville,127,143,88.80,80.1 - 90%
2009,2005,1972,Eastern Allamakee,40,41,97.60,90.1 - 100%
2017,2013,5607,Rock Valley,44,47,93.60,90.1 - 100%
2017,2013,1368,Columbus,44,52,84.60,80.1 - 90%
2012,2008,2007,Eldora-New Providence,62,70,88.60,80.1 - 90%
2011,2007,3609,Lenox,20,24,83.30,80.1 - 90%
2017,2013,0423,Aurelia,,,,Not Reportable
2016,2012,3744,Lisbon,36,39,92.30,90.1 - 100%
2011,2007,0099,Alburnett,44,48,91.70,90.1 - 100%
2013,2009,0720,Bondurant-Farrar,81,81,100.00,90.1 - 100%
2011,2007,4068,Marcus-Meriden-Cleghorn,29,34,85.30,80.1 - 90%
2012,2008,0585,Bellevue,58,58,100.00,90.1 - 100%
2009,2005,0609,Benton,109,121,90.10,Not Reportable
2010,2006,5510,Riverside,53,56,94.60,90.1 - 100%
2016,2012,4779,North Polk,87,87,100.00,90.1 - 100%
2014,2010,6759,Wapello,55,61,90.20,90.1 - 100%
2010,2006,3204,Jesup,61,65,93.90,90.1 - 100%
2016,2012,5832,Schleswig,,,,Not Reportable
2016,2012,5823,Schaller-Crestland,,,,Not Reportable
2015,2011,6854,Wayne,35,35,100.00,90.1 - 100%
2017,2013,7092,Woodbine,23,23,100.00,90.1 - 100%
2011,2007,1967,East Greene,21,23,91.30,90.1 - 100%
2015,2011,3841,Louisa-Muscatine,59,66,89.40,80.1 - 90%
2017,2013,1211,Clarke,71,82,86.60,80.1 - 90%
2015,2011,1968,East Marshall,59,65,90.80,90.1 - 100%
2016,2012,6762,Wapsie Valley,50,52,96.20,90.1 - 100%
2017,2013,3816,Lone Tree,27,29,93.10,90.1 - 100%
2014,2010,1071,Centerville,86,96,89.60,80.1 - 90%
2010,2006,3330,Keota,29,29,100.00,90.1 - 100%
2009,2005,1350,Collins-Maxwell,36,38,94.70,90.1 - 100%
2016,2012,1337,College,285,308,92.50,90.1 - 100%
2013,2009,1082,Central DeWitt,107,112,95.50,90.1 - 100%
2015,2011,0914,CAM,48,63,76.20,70.1 - 80%
2017,2013,1968,East Marshall,62,64,96.90,90.1 - 100%
2010,2006,6975,West Liberty,71,83,85.50,80.1 - 90%
2012,2008,1053,Cedar Rapids,1040,1256,82.80,80.1 - 90%
2012,2008,1576,Dallas Center-Grimes,116,121,95.90,90.1 - 100%
2015,2011,6030,Sioux Center,69,78,88.50,80.1 - 90%
2016,2012,3537,Laurens-Marathon,21,21,100.00,90.1 - 100%
2014,2010,0261,Ankeny,558,592,94.30,90.1 - 100%
2010,2006,0099,Alburnett,35,38,92.10,90.1 - 100%
2009,2005,0441,A-H-S-T,34,39,87.20,80.1 - 90%
2011,2007,1619,Davis County,69,79,87.30,80.1 - 90%
2011,2007,4043,Maquoketa Valley,56,56,100.00,90.1 - 100%
2011,2007,1965,East Central,36,38,94.70,90.1 - 100%
2017,2013,3420,Lake Mills,50,52,96.20,90.1 - 100%
2014,2010,2977,Highland,38,45,84.40,80.1 - 90%
2011,2007,0171,Alta,39,46,84.80,80.1 - 90%
2017,2013,4995,Osage,77,81,95.10,90.1 - 100%
2013,2009,3060,Humboldt,92,101,91.10,90.1 - 100%
2016,2012,1215,Clarksville,22,25,88.00,80.1 - 90%
2015,2011,4772,Central Springs,50,52,96.20,90.1 - 100%
2016,2012,4777,North Linn,46,47,97.90,90.1 - 100%
2017,2013,4149,MOC-Floyd Valley,106,110,96.40,90.1 - 100%
2011,2007,5508,Riceville,27,28,96.40,90.1 - 100%
2011,2007,3150,Iowa Falls,82,92,89.10,80.1 - 90%
2011,2007,0720,Bondurant-Farrar,94,96,97.90,90.1 - 100%
2013,2009,6975,West Liberty,69,75,92.00,90.1 - 100%
2013,2009,6660,Vinton-Shellsburg,109,123,88.60,80.1 - 90%
2017,2013,3105,Independence,106,112,94.60,90.1 - 100%
2017,2013,6969,West Harrison,25,28,89.30,80.1 - 90%
2016,2012,1701,Denison,167,188,88.80,80.1 - 90%
2015,2011,1278,Clinton,205,242,84.70,80.1 - 90%
2010,2006,4505,Mormon Trail,15,16,93.80,90.1 - 100%
2015,2011,0729,Boone,169,187,90.40,90.1 - 100%
2017,2013,0414,Audubon,37,38,97.40,90.1 - 100%
2011,2007,5463,Red Oak,71,81,87.70,80.1 - 90%
2013,2009,2846,Harris-Lake Park,15,17,88.20,80.1 - 90%
2014,2010,4041,Maquoketa,101,119,84.90,80.1 - 90%
2015,2011,4787,North Winneshiek,,,,Not Reportable
2016,2012,5697,Rudd-Rockford-Marble Rk,42,42,100.00,90.1 - 100%
2013,2009,1963,East Buchanan,38,41,92.70,90.1 - 100%
2016,2012,4505,Mormon Trail,13,14,92.90,90.1 - 100%
2011,2007,1503,Creston,90,96,93.80,90.1 - 100%
2016,2012,5013,Oskaloosa,130,153,85.00,80.1 - 90%
2010,2006,5486,Remsen-Union,24,25,96.00,90.1 - 100%
2016,2012,1719,Denver,54,57,94.70,90.1 - 100%
2013,2009,1107,Chariton,88,98,89.80,80.1 - 90%
2014,2010,6795,Waterloo,517,697,74.20,70.1 - 80%
2010,2006,1737,Des Moines Independent,1572,2003,78.50,70.1 - 80%
2010,2006,6165,Stanton,24,25,96.00,90.1 - 100%
2013,2009,0504,Battle Creek-Ida Grove,67,69,97.10,90.1 - 100%
2015,2011,4043,Maquoketa Valley,42,44,95.50,90.1 - 100%
2014,2010,2511,Glenwood,137,149,92.00,90.1 - 100%
2014,2010,4554,Mount Vernon,81,91,89.00,80.1 - 90%
2017,2013,4527,Mount Ayr,37,38,97.40,90.1 - 100%
2015,2011,6969,West Harrison,31,31,100.00,90.1 - 100%
2009,2005,6750,Walnut,11,13,84.60,80.1 - 90%
2011,2007,0540,BCLUW,39,42,92.90,90.1 - 100%
2012,2008,0540,BCLUW,57,65,87.70,80.1 - 90%
2010,2006,6867,Webster City,122,129,94.60,90.1 - 100%
2017,2013,2834,Harmony,,,,Not Reportable
2016,2012,2781,Hampton-Dumont,80,85,94.10,90.1 - 100%
2016,2012,1611,Davenport,872,1044,83.50,80.1 - 90%
2009,2005,2988,Hinton,53,54,98.20,90.1 - 100%
2011,2007,1431,Corning,42,45,93.30,90.1 - 100%
2012,2008,6273,Sumner,58,62,93.60,90.1 - 100%
2014,2010,6012,Sigourney,40,43,93.00,90.1 - 100%
2013,2009,4269,Midland,29,35,82.90,80.1 - 90%
2009,2005,3645,Lewis Central,173,194,89.20,80.1 - 90%
2015,2011,1791,Dike-New Hartford,49,49,100.00,90.1 - 100%
2010,2006,3841,Louisa-Muscatine,70,80,87.50,80.1 - 90%
2011,2007,0261,Ankeny,469,505,92.90,90.1 - 100%
2011,2007,6264,West Central Valley,57,61,93.40,90.1 - 100%
2014,2010,5697,Rudd-Rockford-Marble Rk,34,37,91.90,90.1 - 100%
2014,2010,3816,Lone Tree,29,31,93.60,90.1 - 100%
2011,2007,0747,Boyden-Hull,47,52,90.40,90.1 - 100%
2011,2007,1134,Charter Oak-Ute,25,30,83.30,80.1 - 90%
2017,2013,2502,Gladbrook-Reinbeck,38,38,100.00,90.1 - 100%
2009,2005,4518,Moulton-Udell,23,23,100.00,90.1 - 100%
2013,2009,1431,Corning,38,39,97.40,90.1 - 100%
2010,2006,6099,South O'Brien,57,61,93.40,90.1 - 100%
2016,2012,7110,Woodward-Granger,57,59,96.60,90.1 - 100%
2016,2012,6096,Southeast Webster Grand,,,,Not Reportable
2012,2008,1970,East Union,28,29,96.60,90.1 - 100%
2015,2011,3609,Lenox,34,36,94.40,90.1 - 100%
2012,2008,4536,Mount Pleasant,132,151,87.40,80.1 - 90%
2016,2012,6408,Tipton,56,63,88.90,80.1 - 90%
2015,2011,6768,Washington,107,117,91.50,90.1 - 100%
2015,2011,6741,East Sac County,67,69,97.10,90.1 - 100%
2011,2007,1926,Durant,59,64,92.20,90.1 - 100%
2010,2006,2977,Highland,41,45,91.10,90.1 - 100%
2017,2013,2977,Highland,48,55,87.30,80.1 - 90%
2013,2009,1968,East Marshall,53,59,89.80,80.1 - 90%
2011,2007,4776,North Mahaska,37,38,97.40,90.1 - 100%
2010,2006,6012,Sigourney,35,52,67.30,60.1 - 70%
2017,2013,2151,Exira-Elk Horn-Kimballton,44,45,97.80,90.1 - 100%
2016,2012,0333,North Union,35,37,94.60,90.1 - 100%
2017,2013,6762,Wapsie Valley,45,45,100.00,90.1 - 100%
2014,2010,3465,Lamoni,26,30,86.70,80.1 - 90%
2015,2011,3978,East Mills,32,33,97.00,90.1 - 100%
2015,2011,0009,AGWSR,44,45,97.80,90.1 - 100%
2011,2007,6854,Wayne,55,59,93.20,90.1 - 100%
2017,2013,3537,Laurens-Marathon,13,15,86.70,80.1 - 90%
2017,2013,0549,Bedford,40,42,95.20,90.1 - 100%
2009,2005,7083,Woden-Crystal Lake,18,20,90.00,80.1 - 90%
2016,2012,1053,Cedar Rapids,979,1167,83.90,80.1 - 90%
2016,2012,3029,Howard-Winneshiek,97,102,95.10,90.1 - 100%
2009,2005,4212,Melcher-Dallas,32,37,86.50,80.1 - 90%
2011,2007,0472,Ballard,113,116,97.40,90.1 - 100%
2009,2005,2502,Gladbrook-Reinbeck,66,68,97.10,90.1 - 100%
2016,2012,1989,Edgewood-Colesburg,42,43,97.70,90.1 - 100%
2013,2009,5877,Sergeant Bluff-Luton,103,105,98.10,90.1 - 100%
2015,2011,1089,Central City,40,44,90.90,90.1 - 100%
2011,2007,6012,Sigourney,29,46,63.00,60.1 - 70%
2012,2008,2466,Gilbert,83,85,97.70,90.1 - 100%
2011,2007,0999,Carroll,122,135,90.40,90.1 - 100%
2013,2009,3119,Interstate 35,64,66,97.00,90.1 - 100%
2011,2007,3715,Linn-Mar,375,421,89.10,80.1 - 90%
2015,2011,4995,Osage,69,70,98.60,90.1 - 100%
2015,2011,0576,Belle Plaine,25,27,92.60,90.1 - 100%
2013,2009,3195,Jefferson-Scranton,77,85,90.60,90.1 - 100%
2013,2009,2376,Galva-Holstein,55,57,96.50,90.1 - 100%
2016,2012,5994,Sibley-Ocheyedan,51,58,87.90,80.1 - 90%
2016,2012,0977,Cardinal,41,45,91.10,90.1 - 100%
2012,2008,1350,Collins-Maxwell,34,36,94.40,90.1 - 100%
2009,2005,1107,Chariton,121,130,93.10,90.1 - 100%
2016,2012,3465,Lamoni,14,14,100.00,90.1 - 100%
2015,2011,2520,Glidden-Ralston,25,25,100.00,90.1 - 100%
2012,2008,6768,Washington,109,128,85.20,80.1 - 90%
2017,2013,5949,Sheldon,69,83,83.10,80.1 - 90%
2014,2010,0009,AGWSR,46,46,100.00,90.1 - 100%
2014,2010,3555,Lawton-Bronson,40,40,100.00,90.1 - 100%
2013,2009,1989,Edgewood-Colesburg,43,45,95.60,90.1 - 100%
2016,2012,6264,West Central Valley,72,72,100.00,90.1 - 100%
2013,2009,6700,Waco,31,36,86.10,80.1 - 90%
2014,2010,6975,West Liberty,75,79,94.90,90.1 - 100%
2017,2013,1197,Clarinda,71,73,97.30,90.1 - 100%
2013,2009,5976,Shenandoah,60,74,81.10,80.1 - 90%
2013,2009,1611,Davenport,773,978,79.00,70.1 - 80%
2016,2012,5486,Remsen-Union,23,25,92.00,90.1 - 100%
2011,2007,0936,Camanche,47,63,74.60,70.1 - 80%
2009,2005,6509,Turkey Valley,63,63,100.00,90.1 - 100%
2014,2010,4772,Central Springs,66,72,91.70,90.1 - 100%
2013,2009,3537,Laurens-Marathon,24,28,85.70,80.1 - 90%
2014,2010,1278,Clinton,220,254,86.60,80.1 - 90%
2012,2008,1791,Dike-New Hartford,52,52,100.00,90.1 - 100%
2011,2007,3231,Johnston,397,413,96.10,90.1 - 100%
2017,2013,2682,GMG,36,40,90.00,80.1 - 90%
2010,2006,1215,Clarksville,19,22,86.40,80.1 - 90%
2011,2007,6175,Starmont,50,55,90.90,90.1 - 100%
2017,2013,6102,Spencer,113,127,89.00,80.1 - 90%
2010,2006,0423,Aurelia,26,26,100.00,90.1 - 100%
2009,2005,3609,Lenox,24,26,92.30,90.1 - 100%
2016,2012,5049,Ottumwa,249,299,83.30,80.1 - 90%
2015,2011,4599,Nashua-Plainfield,45,48,93.80,90.1 - 100%
2012,2008,3942,Madrid,35,39,89.70,80.1 - 90%
2017,2013,0081,Albia,78,81,96.30,90.1 - 100%
2014,2010,2556,Graettinger-Terril,25,28,89.30,80.1 - 90%
2012,2008,5724,Ruthven-Ayrshire,19,19,100.00,90.1 - 100%
2013,2009,2457,George-Little Rock,26,27,96.30,90.1 - 100%
2015,2011,5949,Sheldon,70,75,93.30,90.1 - 100%
2010,2006,3060,Humboldt,97,105,92.40,90.1 - 100%
2016,2012,3978,East Mills,40,41,97.60,90.1 - 100%
2013,2009,3798,Logan-Magnolia,51,53,96.20,90.1 - 100%
2014,2010,3042,Hudson,59,59,100.00,90.1 - 100%
2011,2007,1079,Central Lee,78,84,92.90,90.1 - 100%
2013,2009,2169,Fairfield,117,135,86.70,80.1 - 90%
2011,2007,4212,Melcher-Dallas,27,29,93.10,90.1 - 100%
2015,2011,1413,Coon Rapids-Bayard,30,31,96.80,90.1 - 100%
2017,2013,6768,Washington,110,121,90.90,90.1 - 100%
2010,2006,5976,Shenandoah,46,52,88.50,80.1 - 90%
2017,2013,0914,CAM,70,98,71.40,70.1 - 80%
2016,2012,3033,Hubbard-Radcliffe,,,,Not Reportable
2015,2011,6921,West Bend-Mallard,23,24,95.80,90.1 - 100%
2010,2006,2403,Garner-Hayfield,51,55,92.70,90.1 - 100%
2014,2010,7110,Woodward-Granger,37,41,90.20,90.1 - 100%
2009,2005,2088,Emmetsburg,60,65,92.30,90.1 - 100%
2009,2005,1638,Decorah,130,137,94.90,90.1 - 100%
2010,2006,6101,Southeast Polk,399,410,97.30,90.1 - 100%
2012,2008,2205,Farragut,25,26,96.20,90.1 - 100%
2016,2012,6512,Twin Cedars,35,36,97.20,90.1 - 100%
2012,2008,7002,Whiting,21,21,100.00,90.1 - 100%
2017,2013,6961,Western Dubuque,307,316,97.20,90.1 - 100%
2017,2013,1944,Eagle Grove,57,62,91.90,90.1 - 100%
2017,2013,4269,Midland,26,27,96.30,90.1 - 100%
2017,2013,6101,Southeast Polk,457,465,98.30,90.1 - 100%
2017,2013,5121,Panorama,49,49,100.00,90.1 - 100%
2010,2006,6460,Tri-Center,58,62,93.60,90.1 - 100%
2015,2011,5328,Prescott,,,,Not Reportable
2013,2009,4527,Mount Ayr,35,37,94.60,90.1 - 100%
2012,2008,2369,Fremont-Mills,23,26,88.50,80.1 - 90%
2013,2009,0549,Bedford,39,44,88.60,80.1 - 90%
2011,2007,0441,A-H-S-T,31,36,86.10,80.1 - 90%
2014,2010,5310,Postville,38,42,90.50,90.1 - 100%
2010,2006,1972,Eastern Allamakee,42,43,97.70,90.1 - 100%
2016,2012,2862,Hartley-Melvin-Sanborn,42,43,97.70,90.1 - 100%
2014,2010,4662,New Hampton,79,95,83.20,80.1 - 90%
2013,2009,1791,Dike-New Hartford,49,50,98.00,90.1 - 100%
2016,2012,0918,Calamus-Wheatland,34,41,82.90,80.1 - 90%
2012,2008,6591,Valley,34,35,97.10,90.1 - 100%
2016,2012,3906,Lynnville-Sully,31,33,93.90,90.1 - 100%
2016,2012,0153,North Butler,50,51,98.00,90.1 - 100%
2011,2007,0918,Calamus-Wheatland,39,42,92.90,90.1 - 100%
2013,2009,4797,Norwalk,181,191,94.80,90.1 - 100%
2009,2005,6138,Springville,41,42,97.60,90.1 - 100%
2016,2012,6992,Westwood,33,33,100.00,90.1 - 100%
2016,2012,1968,East Marshall,64,70,91.40,90.1 - 100%
2012,2008,0621,Bettendorf,308,332,92.80,90.1 - 100%
2016,2012,6453,Treynor,50,50,100.00,90.1 - 100%
2017,2013,6992,Westwood,52,53,98.10,90.1 - 100%
2014,2010,5163,Pekin,47,53,88.70,80.1 - 90%
2012,2008,6101,Southeast Polk,409,425,96.20,90.1 - 100%
2015,2011,4572,Murray,27,28,96.40,90.1 - 100%
2014,2010,5976,Shenandoah,70,74,94.60,90.1 - 100%
2010,2006,6536,Union,98,102,96.10,90.1 - 100%
2012,2008,5922,West Fork,56,58,96.60,90.1 - 100%
2010,2006,3798,Logan-Magnolia,45,49,91.80,90.1 - 100%
2012,2008,6098,South Tama County,72,83,86.80,80.1 - 90%
2017,2013,1082,Central DeWitt,115,123,93.50,90.1 - 100%
2009,2005,1953,Earlham,38,45,84.40,80.1 - 90%
2015,2011,5508,Riceville,26,28,92.90,90.1 - 100%
2011,2007,1215,Clarksville,18,21,85.70,80.1 - 90%
2011,2007,4788,Northwood-Kensett,36,36,100.00,90.1 - 100%
2015,2011,6990,West Sioux,33,37,89.20,80.1 - 90%
2016,2012,5751,St Ansgar,53,54,98.20,90.1 - 100%
2013,2009,0729,Boone,165,186,88.70,80.1 - 90%
2012,2008,2862,Hartley-Melvin-Sanborn,45,52,86.50,80.1 - 90%
2016,2012,0603,Bennett,,,,Not Reportable
2009,2005,6651,Villisca,31,35,88.60,80.1 - 90%
2014,2010,4978,Orient-Macksburg,10,10,100.00,90.1 - 100%
2012,2008,4869,Oelwein,93,100,93.00,90.1 - 100%
2010,2006,6660,Vinton-Shellsburg,115,142,81.00,80.1 - 90%
2014,2010,0747,Boyden-Hull,37,39,94.90,90.1 - 100%
2010,2006,0540,BCLUW,45,55,81.80,80.1 - 90%
2010,2006,4978,Orient-Macksburg,11,11,100.00,90.1 - 100%
2014,2010,6512,Twin Cedars,40,41,97.60,90.1 - 100%
2015,2011,5922,West Fork,63,63,100.00,90.1 - 100%
2012,2008,4491,Moravia,25,25,100.00,90.1 - 100%
2012,2008,4041,Maquoketa,127,143,88.80,80.1 - 90%
2009,2005,5724,Ruthven-Ayrshire,17,17,100.00,90.1 - 100%
2013,2009,2369,Fremont-Mills,39,41,95.10,90.1 - 100%
2010,2006,1062,Center Point-Urbana,85,88,96.60,90.1 - 100%
2010,2006,6930,West Branch,51,58,87.90,80.1 - 90%
2017,2013,6138,Springville,30,33,90.90,90.1 - 100%
2009,2005,5751,St Ansgar,62,66,93.90,90.1 - 100%
2009,2005,6098,South Tama County,96,113,85.00,80.1 - 90%
2012,2008,5643,Roland-Story,60,65,92.30,90.1 - 100%
2017,2013,7047,Winfield-Mt Union,29,30,96.70,90.1 - 100%
2013,2009,3715,Linn-Mar,370,412,89.80,80.1 - 90%
2013,2009,6930,West Branch,61,67,91.00,90.1 - 100%
2009,2005,2754,Guthrie Center,43,44,97.70,90.1 - 100%
2009,2005,6096,Southeast Webster Grand,42,58,72.40,70.1 - 80%
2009,2005,0414,Audubon,56,58,96.60,90.1 - 100%
2012,2008,4023,Manson Northwest Webster,54,56,96.40,90.1 - 100%
2011,2007,2520,Glidden-Ralston,35,35,100.00,90.1 - 100%
2011,2007,6591,Valley,40,41,97.60,90.1 - 100%
2010,2006,2664,Greene,47,52,90.40,90.1 - 100%
2016,2012,1071,Centerville,85,95,89.50,80.1 - 90%
2015,2011,3029,Howard-Winneshiek,84,93,90.30,90.1 - 100%
2013,2009,3555,Lawton-Bronson,44,47,93.60,90.1 - 100%
2016,2012,1152,Cherokee,73,80,91.30,90.1 - 100%
2017,2013,0279,Aplington-Parkersburg,64,68,94.10,90.1 - 100%
2017,2013,1089,Central City,34,38,89.50,80.1 - 90%
2015,2011,5256,Pleasantville,32,33,97.00,90.1 - 100%
2009,2005,1206,Clarion-Goldfield,72,83,86.80,80.1 - 90%
2010,2006,1967,East Greene,20,23,87.00,80.1 - 90%
2012,2008,1972,Eastern Allamakee,29,30,96.70,90.1 - 100%
2015,2011,6591,Valley,,,,Not Reportable
2010,2006,4527,Mount Ayr,41,44,93.20,90.1 - 100%
2011,2007,6003,Sidney,21,28,75.00,70.1 - 80%
2017,2013,6536,Union,100,104,96.20,90.1 - 100%
2014,2010,1359,Colo-Nesco,32,34,94.10,90.1 - 100%
2009,2005,4437,Montezuma,45,47,95.70,90.1 - 100%
2010,2006,1071,Centerville,126,132,95.50,90.1 - 100%
2012,2008,1206,Clarion-Goldfield,60,63,95.20,90.1 - 100%
2012,2008,3105,Independence,94,106,88.70,80.1 - 90%
