Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2018,2014,6100,South Winneshiek,54,57,94.74,90.1 - 100%
2018,2014,6101,Southeast Polk,467,492,94.92,90.1 - 100%
2018,2014,6102,Spencer,131,139,94.24,90.1 - 100%
2018,2014,6120,Spirit Lake,98,107,91.59,90.1 - 100%
2018,2014,6138,Springville,28,29,96.55,90.1 - 100%
2018,2014,6165,Stanton,16,16,100.00,90.1 - 100%
2018,2014,6175,Starmont,48,51,94.12,90.1 - 100%
2018,2014,6219,Storm Lake,103,159,64.78,60.1 - 70%
2018,2014,6246,Stratford,,,,Not Reportable
2018,2014,6264,West Central Valley,49,50,98.00,90.1 - 100%
2018,2014,6273,Sumner-Fredericksburg,38,40,95.00,90.1 - 100%
2018,2014,6408,Tipton,61,66,92.42,90.1 - 100%
2018,2014,6453,Treynor,43,45,95.56,90.1 - 100%
2018,2014,6460,Tri-Center,47,47,100.00,90.1 - 100%
2018,2014,6462,Tri-County,27,27,100.00,90.1 - 100%
2018,2014,6471,Tripoli,38,41,92.68,90.1 - 100%
2018,2014,6509,Turkey Valley,31,32,96.88,90.1 - 100%
2018,2014,6512,Twin Cedars,22,23,95.65,90.1 - 100%
2018,2014,6516,Twin Rivers,,,,Not Reportable
2018,2014,6534,Underwood,62,64,96.88,90.1 - 100%
2018,2014,6536,Union,75,83,90.36,90.1 - 100%
2018,2014,6561,United,,,,Not Reportable
2018,2014,6579,Urbandale,279,296,94.26,90.1 - 100%
2018,2014,6592,Van Buren,64,67,95.52,90.1 - 100%
2018,2014,6615,Van Meter,62,62,100.00,90.1 - 100%
2018,2014,6651,Villisca,,,,Not Reportable
2018,2014,6660,Vinton-Shellsburg,102,109,93.58,90.1 - 100%
2018,2014,6700,Waco,26,30,86.67,80.1 - 90%
2018,2014,6741,East Sac County,70,72,97.22,90.1 - 100%
2018,2014,6759,Wapello,45,51,88.24,80.1 - 90%
2018,2014,6762,Wapsie Valley,50,51,98.04,90.1 - 100%
2018,2014,6768,Washington,131,147,89.12,80.1 - 90%
2018,2014,6795,Waterloo,588,698,84.24,80.1 - 90%
2018,2014,6822,Waukee,590,599,98.50,90.1 - 100%
2018,2014,6840,Waverly-Shell Rock,148,164,90.24,90.1 - 100%
2018,2014,6854,Wayne,48,48,100.00,90.1 - 100%
2018,2014,6867,Webster City,110,117,94.02,90.1 - 100%
2018,2014,6921,West Bend-Mallard,26,26,100.00,90.1 - 100%
2018,2014,6930,West Branch,58,65,89.23,80.1 - 90%
2018,2014,6937,West Burlington Ind,56,59,94.92,90.1 - 100%
2018,2014,6943,West Central,15,15,100.00,90.1 - 100%
2018,2014,6950,West Delaware County,108,112,96.43,90.1 - 100%
2018,2014,6957,West Des Moines,643,692,92.92,90.1 - 100%
2018,2014,6961,Western Dubuque,308,315,97.78,90.1 - 100%
2018,2014,6969,West Harrison,27,30,90.00,90.1 - 100%
2018,2014,6975,West Liberty,97,102,95.10,90.1 - 100%
2018,2014,6983,West Lyon,61,62,98.39,90.1 - 100%
2018,2014,6985,West Marshall,67,69,97.10,90.1 - 100%
2018,2014,6987,West Monona,31,35,88.57,80.1 - 90%
2018,2014,6990,West Sioux,42,50,84.00,80.1 - 90%
2018,2014,6992,Westwood,40,40,100.00,90.1 - 100%
2018,2014,7002,Whiting,13,14,92.86,90.1 - 100%
2018,2014,7029,Williamsburg,98,102,96.08,90.1 - 100%
2018,2014,7038,Wilton,55,56,98.21,90.1 - 100%
2018,2014,7047,Winfield-Mt Union,27,29,93.10,90.1 - 100%
2018,2014,7056,Winterset,120,123,97.56,90.1 - 100%
2018,2014,7092,Woodbine,21,21,100.00,90.1 - 100%
2018,2014,7098,Woodbury Central,45,46,97.83,90.1 - 100%
2018,2014,7110,Woodward-Granger,65,65,100.00,90.1 - 100%
2019,2015,1782,Diagonal,,,,Not Reportable
2019,2015,0009,AGWSR,40,40,100.00,90.1 - 100%
2019,2015,0027,Adel DeSoto Minburn,115,115,100.00,90.1 - 100%
2019,2015,0063,Akron Westfield,39,39,100.00,90.1 - 100%
2019,2015,0355,Ar-We-Va,13,13,100.00,90.1 - 100%
2019,2015,0414,Audubon,27,27,100.00,90.1 - 100%
2019,2015,0513,Baxter,32,32,100.00,90.1 - 100%
2019,2015,0549,Bedford,27,27,100.00,90.1 - 100%
2019,2015,0873,North Iowa,33,33,100.00,90.1 - 100%
2019,2015,1080,Central,29,29,100.00,90.1 - 100%
2019,2015,1095,Central Lyon,44,44,100.00,90.1 - 100%
2019,2015,1215,Clarksville,21,21,100.00,90.1 - 100%
2019,2015,1359,Colo-NESCO,32,32,100.00,90.1 - 100%
2019,2015,1719,Denver,52,52,100.00,90.1 - 100%
2019,2015,1908,Dunkerton,31,31,100.00,90.1 - 100%
2019,2015,1963,East Buchanan,40,40,100.00,90.1 - 100%
2019,2015,1972,Eastern Allamakee,26,26,100.00,90.1 - 100%
2019,2015,2113,Essex,15,15,100.00,90.1 - 100%
2019,2015,2151,Exira-Elk Horn-,23,23,100.00,90.1 - 100%
2019,2015,2376,Galva-Holstein,49,49,100.00,90.1 - 100%
2019,2015,2520,Glidden-Ralston,26,26,100.00,90.1 - 100%
2019,2015,2718,Griswold,40,40,100.00,90.1 - 100%
2019,2015,3029,Howard-Winneshiek,89,89,100.00,90.1 - 100%
2019,2015,3042,Hudson,41,41,100.00,90.1 - 100%
2019,2015,3168,IKM-Manning,54,54,100.00,90.1 - 100%
2019,2015,3330,Keota,20,20,100.00,90.1 - 100%
2019,2015,3348,Kingsley-Pierson,33,33,100.00,90.1 - 100%
2019,2015,3465,Lamoni,14,14,100.00,90.1 - 100%
2019,2015,3555,Lawton-Bronson,48,48,100.00,90.1 - 100%
2019,2015,3609,Lenox,35,35,100.00,90.1 - 100%
2019,2015,4043,Maquoketa Valley,53,53,100.00,90.1 - 100%
2019,2015,4068,Marcus-Meriden-Cleghorn,36,36,100.00,90.1 - 100%
2019,2015,4419,MFL MarMac,60,60,100.00,90.1 - 100%
2019,2015,4572,Murray,25,25,100.00,90.1 - 100%
2019,2015,4644,Newell-Fonda,30,30,100.00,90.1 - 100%
2019,2015,4772,Central Springs,58,58,100.00,90.1 - 100%
2019,2015,5139,Paton-Churdan,17,17,100.00,90.1 - 100%
2019,2015,5697,Rudd-Rockford-Marble Rk,44,44,100.00,90.1 - 100%
2019,2015,5724,Ruthven-Ayrshire,16,16,100.00,90.1 - 100%
2019,2015,5751,St Ansgar,48,48,100.00,90.1 - 100%
2019,2015,6095,South Hamilton,55,55,100.00,90.1 - 100%
2019,2015,6097,South Page,11,11,100.00,90.1 - 100%
2019,2015,6165,Stanton,18,18,100.00,90.1 - 100%
2019,2015,6175,Starmont,34,34,100.00,90.1 - 100%
2019,2015,6453,Treynor,59,59,100.00,90.1 - 100%
2019,2015,6462,Tri-County,13,13,100.00,90.1 - 100%
2019,2015,6509,Turkey Valley,25,25,100.00,90.1 - 100%
2019,2015,6921,West Bend-Mallard,24,24,100.00,90.1 - 100%
2019,2015,6969,West Harrison,25,25,100.00,90.1 - 100%
2019,2015,6987,West Monona,37,37,100.00,90.1 - 100%
2019,2015,6992,Westwood,41,41,100.00,90.1 - 100%
2019,2015,7056,Winterset,123,124,99.19,90.1 - 100%
2019,2015,5643,Roland-Story,94,95,98.95,90.1 - 100%
2019,2015,6822,Waukee,647,654,98.93,90.1 - 100%
2019,2015,2403,Garner-Hayfield-Ventura,85,86,98.84,90.1 - 100%
2019,2015,6534,Underwood,74,75,98.67,90.1 - 100%
2019,2015,6961,Western Dubuque,283,287,98.61,90.1 - 100%
2019,2015,6615,Van Meter,68,69,98.55,90.1 - 100%
2019,2015,4797,Norwalk,198,201,98.51,90.1 - 100%
2019,2015,1791,Dike-New Hartford,65,66,98.48,90.1 - 100%
2019,2015,2988,Hinton,64,65,98.46,90.1 - 100%
2019,2015,0585,Bellevue,59,60,98.33,90.1 - 100%
2019,2015,5607,Rock Valley,58,59,98.31,90.1 - 100%
2019,2015,2466,Gilbert,114,116,98.28,90.1 - 100%
2019,2015,6983,West Lyon,56,57,98.25,90.1 - 100%
2019,2015,2673,Nodaway Valley,55,56,98.21,90.1 - 100%
2019,2015,6579,Urbandale,304,310,98.06,90.1 - 100%
2019,2015,1332,Colfax-Mingo,50,51,98.04,90.1 - 100%
2019,2015,1093,Central Decatur,49,50,98.00,90.1 - 100%
2019,2015,5922,West Fork,49,50,98.00,90.1 - 100%
2019,2015,0747,Boyden-Hull,48,49,97.96,90.1 - 100%
2019,2015,0846,Brooklyn-Guernsey-Malcom,48,49,97.96,90.1 - 100%
2019,2015,3798,Logan-Magnolia,47,48,97.92,90.1 - 100%
2019,2015,4878,Ogden,47,48,97.92,90.1 - 100%
2019,2015,6536,Union,94,96,97.92,90.1 - 100%
2019,2015,5163,Pekin,46,47,97.87,90.1 - 100%
2019,2015,6762,Wapsie Valley,46,47,97.87,90.1 - 100%
2019,2015,3744,Lisbon,44,45,97.78,90.1 - 100%
2019,2015,7029,Williamsburg,87,89,97.75,90.1 - 100%
2019,2015,5325,Prairie Valley,86,88,97.73,90.1 - 100%
2019,2015,6035,Sioux Central,43,44,97.73,90.1 - 100%
2019,2015,2682,GMG,42,43,97.67,90.1 - 100%
2019,2015,3906,Lynnville-Sully,42,43,97.67,90.1 - 100%
2019,2015,6854,Wayne,40,41,97.56,90.1 - 100%
2019,2015,4446,Monticello,79,81,97.53,90.1 - 100%
